states_msa_code,states_msa,states_msa_full,geoid_msa,name_msa,cases,deaths,group
23,ME,ME,12300,Augusta-Waterville,5,2,2020-05-02
23,ME,ME,12620,Bangor,10,0,2020-05-02
23,ME,ME,38860,Portland-South Portland,230,4,2020-05-02
23,ME,ME,30340,Lewiston-Auburn,30,0,2020-05-02
24,MD,MD,15680,California-Lexington Park,75,1,2020-05-02
24,MD,MD,15700,Cambridge,43,0,2020-05-02
24,MD,MD,20660,Easton,23,0,2020-05-02
24,MD,MD-WV,19060,Cumberland,28,5,2020-05-02
24,MD,MD,12580,Baltimore-Columbia-Towson,2641,168,2020-05-02
24,MD,MD-WV,25180,Hagerstown-Martinsburg,84,6,2020-05-02
25,MA,MA,12700,Barnstable Town,154,21,2020-05-02
25,MA,MA,47240,Vineyard Haven,5,0,2020-05-02
25,MA,MA-NH,14460,Boston-Cambridge-Newton,8804,828,2020-05-02
25,MA,MA,38340,Pittsfield,28,1,2020-05-02
25,MA,MA-RI,39300,Providence-Warwick,2783,328,2020-05-02
25,MA,MA,24640,Greenfield Town,34,5,2020-05-02
26,MI,MI-WI,31940,Marinette,7,0,2020-05-02
26,MI,MI,13020,Bay City,0,2,2020-05-02
26,MI,MI-WI,27020,Iron Mountain,0,0,2020-05-02
26,MI,MI,33220,Midland,20,6,2020-05-02
26,MI,MI,34380,Mount Pleasant,12,0,2020-05-02
27,MN,MN-WI,33460,Minneapolis-St. Paul-Bloomington,2946,172,2020-05-02
27,MN,MN,14660,Brainerd,6,0,2020-05-02
27,MN,MN-ND,22020,Fargo,310,15,2020-05-02
27,MN,MN,36940,Owatonna,40,0,2020-05-02
27,MN,MN,40340,Rochester,480,61,2020-05-02
27,MN,MN,12380,Austin,14,0,2020-05-02
27,MN,MN,22060,Faribault-Northfield,88,0,2020-05-02
27,MN,MN,22260,Fergus Falls,9,0,2020-05-02
27,MN,MN,48820,Willmar,141,0,2020-05-02
27,MN,MN-ND,47420,Wahpeton,1,0,2020-05-02
27,MN,MN-WI,20260,Duluth,38,1,2020-05-02
27,MN,MN,39860,Red Wing,6,0,2020-05-02
27,MN,MN,13420,Bemidji,0,0,2020-05-02
27,MN,MN-WI,29100,La Crosse-Onalaska,5,0,2020-05-02
27,MN,MN,32140,Marshall,102,0,2020-05-02
27,MN,MN,41060,St. Cloud,979,6,2020-05-02
27,MN,MN,35580,New Ulm,1,0,2020-05-02
27,MN,MN,10660,Albert Lea,8,0,2020-05-02
27,MN,MN-ND,24220,Grand Forks,38,3,2020-05-02
27,MN,MN,31860,Mankato-North Mankato,34,0,2020-05-02
27,MN,MN,49100,Winona,4,0,2020-05-02
27,MN,MN,49380,Worthington,364,1,2020-05-02
28,MS,MS,17380,Cleveland,38,1,2020-05-02
28,MS,MS,29860,Laurel,122,4,2020-05-02
28,MS,MS,46980,Vicksburg,42,0,2020-05-02
28,MS,MS,24740,Greenville,53,0,2020-05-02
28,MS,MS,24900,Greenwood,94,4,2020-05-02
28,MS,MS,32620,McComb,26,3,2020-05-02
28,MS,MS,44260,Starkville,35,1,2020-05-02
28,MS,MS,46180,Tupelo,24,3,2020-05-02
28,MS,MS,26940,Indianola,8,1,2020-05-02
28,MS,MS,32940,Meridian,157,26,2020-05-02
28,MS,MS,38100,Picayune,15,4,2020-05-02
28,MS,MS,15020,Brookhaven,41,2,2020-05-02
28,MS,MS,17260,Clarksdale,7,0,2020-05-02
28,MS,MS,25060,Gulfport-Biloxi-Pascagoula,40,10,2020-05-02
28,MS,MS,25620,Hattiesburg,132,11,2020-05-02
28,MS,MS,24980,Grenada,15,2,2020-05-02
28,MS,MS,37060,Oxford,41,3,2020-05-02
28,MS,MS,18420,Corinth,0,0,2020-05-02
29,MO,MO,43460,Sikeston,10,3,2020-05-02
29,MO,MO,32340,Maryville,2,0,2020-05-02
29,MO,MO,33020,Mexico,0,0,2020-05-02
29,MO,MO,33620,Moberly,0,0,2020-05-02
29,MO,MO,42740,Sedalia,28,0,2020-05-02
29,MO,MO,30060,Lebanon,112,7,2020-05-02
29,MO,MO,14700,Branson,1,0,2020-05-02
29,MO,MO,47660,Warrensburg,7,0,2020-05-02
29,MO,MO,28860,Kirksville,0,0,2020-05-02
29,MO,MO,27900,Joplin,5,0,2020-05-02
29,MO,MO,17860,Columbia,370,30,2020-05-02
29,MO,MO,22780,Fort Leonard Wood,0,0,2020-05-02
29,MO,MO,27620,Jefferson City,10,0,2020-05-02
29,MO,MO,40620,Rolla,1,0,2020-05-02
29,MO,MO,25300,Hannibal,1,0,2020-05-02
29,MO,MO,22100,Farmington,380,20,2020-05-02
29,MO,MO,38740,Poplar Bluff,1,0,2020-05-02
29,MO,MO,28380,Kennett,4,0,2020-05-02
31,NE,NE,42420,Scottsbluff,15,0,2020-05-02
31,NE,NE,35740,Norfolk,125,0,2020-05-02
31,NE,NE,25580,Hastings,36,3,2020-05-02
31,NE,NE,23340,Fremont,102,1,2020-05-02
31,NE,NE,24260,Grand Island,233,7,2020-05-02
31,NE,NE,28260,Kearney,13,0,2020-05-02
31,NE,NE,30420,Lexington,202,2,2020-05-02
31,NE,NE,35820,North Platte,9,0,2020-05-02
31,NE,NE,13100,Beatrice,2,1,2020-05-02
32,NV,NV,22280,Fernley,8,0,2020-05-02
32,NV,NV,49080,Winnemucca,21,1,2020-05-02
32,NV,NV,29820,Las Vegas-Henderson-Paradise,586,50,2020-05-02
32,NV,NV,37220,Pahrump,7,0,2020-05-02
32,NV,NV,16180,Carson City,4,0,2020-05-02
32,NV,NV,39900,Reno,156,6,2020-05-02
32,NV,NV,21220,Elko,0,0,2020-05-02
32,NV,NV,23820,Gardnerville Ranchos,3,0,2020-05-02
32,NV,NV,21980,Fallon,2,0,2020-05-02
33,NH,NH-VT,13620,Berlin,0,0,2020-05-02
33,NH,NH,31700,Manchester-Nashua,392,15,2020-05-02
33,NH,NH,28300,Keene,3,0,2020-05-02
33,NH,NH-VT,17200,Claremont-Lebanon,14,0,2020-05-02
33,NH,NH,18180,Concord,49,5,2020-05-02
33,NH,NH,29060,Laconia,7,0,2020-05-02
34,NJ,NJ-NY-PA,35620,New York-Newark-Jersey City,19104,2224,2020-05-02
34,NJ,NJ-PA,10900,Allentown-Bethlehem-Easton,779,125,2020-05-02
34,NJ,NJ,45940,Trenton,1156,91,2020-05-02
34,NJ,NJ,36140,Ocean City,108,10,2020-05-02
34,NJ,NJ,12100,Atlantic City-Hammonton,482,27,2020-05-02
34,NJ,NJ,47220,Vineland-Bridgeton,499,21,2020-05-02
35,NM,NM,42140,Santa Fe,10,1,2020-05-02
35,NM,NM,23700,Gallup,444,20,2020-05-02
35,NM,NM,10740,Albuquerque,288,17,2020-05-02
35,NM,NM,29780,Las Vegas,4,0,2020-05-02
35,NM,NM,10460,Alamogordo,10,0,2020-05-02
35,NM,NM,17580,Clovis,12,0,2020-05-02
35,NM,NM,26020,Hobbs,4,0,2020-05-02
35,NM,NM,21580,Espa?÷ú?√╞ola,9,0,2020-05-02
35,NM,NM,24380,Grants,23,0,2020-05-02
